OrderID,OrderDate,Region,CustomerSegment,ProductCategory,UnitCost,UnitPrice,UnitsSold,MarketingSpend,Profit
52,2024-08-23,North,Consumer,Clothing,77.72,120.42,44,280.24,1598.56
53,2023-11-12,West,Consumer,Electronics,73.63,98.62,7,52.41,122.52
54,2023-01-14,South,Corporate,Furniture,80.07,98.83,42,472.29,315.63
55,2023-08-30,South,Small Business,Food,22.88,27.79,26,236.67,-109.01
56,2023-12-12,West,Consumer,Clothing,28.41,53.36,25,231.05,392.7
57,2024-07-18,South,Small Business,Clothing,74.27,97.97,10,225.77,11.23
58,2023-12-06,North,Corporate,Clothing,54.46,91.85,45,81.2,1601.35
59,2023-04-02,West,Small Business,Furniture,77.92,142.56,19,337.25,890.91
60,2024-01-02,North,Consumer,Electronics,19.26,31.83,11,379.85,-241.58
61,2024-03-30,East,Small Business,Furniture,58.28,109.19,13,354.26,307.57
62,2024-03-03,East,Consumer,Food,44.09,64.07,8,112.3,47.54
63,2024-05-23,South,Consumer,Furniture,51.13,100.25,40,310.48,1654.32
64,2023-02-04,East,Consumer,Food,64.36,78.51,4,306.27,-249.67
65,2023-07-25,North,Corporate,Clothing,55.21,65.81,47,440.78,57.42
66,2023-03-22,East,Small Business,Food,58.59,99.18,31,220.61,1037.68
67,2024-07-15,North,Corporate,Food,53.77,104.77,28,217.17,1210.83
68,2024-01-23,South,Small Business,Electronics,46.81,85.57,11,328.34,98.02
69,2023-01-02,South,Corporate,Food,79.47,92.88,43,334.88,241.75
70,2024-01-25,North,Home Office,Food,11.1,15.0,1,261.18,-257.28
71,2024-07-19,East,Consumer,Furniture,63.86,123.72,49,249.38,2683.76
72,2023-04-16,South,Consumer,Clothing,60.9,80.86,47,272.37,665.75
73,2024-04-21,West,Corporate,Furniture,74.46,134.26,38,437.47,1834.93
74,2024-12-03,South,Home Office,Furniture,63.91,117.76,24,257.53,1034.87
75,2024-02-06,East,Consumer,Clothing,84.41,130.49,47,472.97,1692.79
76,2024-12-30,West,Small Business,Clothing,96.32,139.44,31,276.8,1059.92
77,2024-07-09,East,Corporate,Food,40.83,61.45,41,477.14,368.28
78,2023-06-11,North,Consumer,Food,30.46,39.73,46,424.77,1.65
79,2023-07-21,West,Consumer,Electronics,48.12,91.45,26,213.09,913.49
80,2023-09-27,East,Corporate,Furniture,35.91,54.06,49,438.64,450.71
81,2023-09-28,West,Corporate,Clothing,65.35,123.79,5,99.53,192.67
82,2024-03-31,East,Small Business,Food,92.07,110.04,20,466.27,-106.87
83,2024-04-06,West,Small Business,Clothing,22.52,44.8,41,334.24,579.24
84,2024-12-27,East,Consumer,Food,19.07,28.58,11,74.48,30.13
85,2023-09-09,North,Consumer,Electronics,33.04,37.77,33,339.92,-183.83
86,2024-12-02,West,Corporate,Electronics,75.35,85.46,38,488.41,-104.23
87,2023-10-23,West,Consumer,Clothing,63.37,112.27,27,81.41,1238.89
88,2024-12-25,West,Consumer,Electronics,19.2,32.51,34,299.61,152.93
89,2024-12-20,West,Corporate,Clothing,92.69,168.87,15,386.51,756.19
90,2023-12-04,North,Consumer,Food,81.11,96.91,32,414.62,90.98
91,2023-02-22,West,Consumer,Furniture,12.07,13.66,21,236.22,-202.83
92,2023-08-05,South,Home Office,Electronics,68.62,106.89,46,141.87,1618.55
93,2023-07-07,North,Small Business,Food,79.41,115.05,5,69.05,109.15
94,2024-01-15,South,Corporate,Furniture,43.7,66.24,6,310.88,-175.64
95,2024-05-07,West,Home Office,Furniture,16.2,32.28,38,253.81,357.23
96,2023-02-10,East,Small Business,Furniture,16.96,33.47,22,476.93,-113.71
97,2023-06-06,South,Small Business,Food,19.38,37.75,18,77.27,253.39
98,2023-01-15,West,Small Business,Food,85.64,154.62,14,358.43,607.29
99,2023-03-06,South,Home Office,Clothing,91.96,130.52,10,61.23,324.37
100,2024-06-04,West,Home Office,Furniture,21.05,30.96,46,127.15,328.71
101,2023-12-10,West,Small Business,Furniture,31.23,49.8,13,254.11,-12.7
102,2023-05-09,West,Consumer,Furniture,24.9,46.0,31,254.69,399.41
103,2024-10-09,East,Consumer,Clothing,26.77,31.1,30,358.57,-228.67
104,2024-04-16,South,Home Office,Furniture,85.37,126.51,3,459.6,-336.18
105,2023-03-04,North,Home Office,Food,39.89,46.85,30,337.56,-128.76
106,2023-05-19,North,Home Office,Furniture,38.03,59.45,6,479.09,-350.57
107,2024-05-13,North,Small Business,Electronics,30.47,58.17,29,446.73,356.57
108,2024-08-15,North,Consumer,Food,64.71,116.75,8,313.02,103.3
109,2024-01-27,West,Home Office,Clothing,44.14,57.61,44,425.21,167.47
110,2024-11-05,South,Home Office,Furniture,76.98,152.3,45,339.16,3050.24
111,2024-02-23,South,Corporate,Electronics,28.5,48.47,43,85.35,773.36
112,2023-10-16,East,Small Business,Clothing,80.9,89.75,44,383.25,6.15
113,2024-01-14,South,Corporate,Clothing,64.33,85.55,33,92.71,607.55
114,2024-05-04,South,Consumer,Food,20.28,27.07,17,317.34,-201.91
115,2023-08-19,South,Corporate,Clothing,47.31,54.99,48,366.19,2.45
116,2023-02-10,East,Corporate,Clothing,87.72,172.27,11,79.94,850.11
117,2023-01-28,North,Corporate,Clothing,93.07,142.44,13,153.86,487.95
118,2023-05-15,South,Small Business,Clothing,51.91,98.95,11,462.05,55.39
119,2023-07-20,East,Consumer,Furniture,53.28,74.06,31,327.34,316.84
120,2023-02-02,East,Corporate,Furniture,92.66,112.37,28,160.83,391.05
121,2023-02-17,West,Small Business,Furniture,62.84,95.95,44,360.81,1096.03
122,2024-05-17,East,Consumer,Furniture,12.96,15.59,6,318.55,-302.77
123,2024-02-11,North,Home Office,Electronics,92.15,141.67,41,275.71,1754.61
124,2024-07-27,South,Corporate,Furniture,32.34,62.36,16,489.28,-8.96
125,2024-12-28,East,Consumer,Clothing,61.99,97.24,4,357.55,-216.55
126,2023-04-09,North,Corporate,Furniture,24.9,41.21,35,218.95,351.9
127,2024-11-14,East,Home Office,Furniture,13.05,16.19,48,410.03,-259.31
128,2024-12-26,East,Consumer,Food,38.03,43.33,26,448.06,-310.26
129,2024-06-30,East,Small Business,Clothing,80.24,96.27,12,106.35,86.01
130,2024-09-04,East,Consumer,Furniture,34.98,57.32,11,140.25,105.49
131,2024-04-06,East,Small Business,Furniture,29.81,35.34,37,147.3,57.31
132,2024-10-04,North,Consumer,Furniture,29.14,41.91,25,361.05,-41.8
133,2023-01-05,South,Small Business,Electronics,56.37,89.91,18,321.37,282.35
134,2023-08-06,South,Home Office,Furniture,97.8,141.79,19,328.55,507.26
135,2024-05-17,South,Home Office,Food,51.31,64.0,23,473.35,-181.48
136,2024-02-02,South,Home Office,Clothing,60.16,81.0,38,399.16,392.76
137,2024-01-28,North,Consumer,Clothing,87.46,169.28,18,107.57,1365.19
138,2023-07-26,West,Home Office,Furniture,58.16,99.36,26,206.38,864.82
139,2023-01-15,West,Corporate,Furniture,26.6,41.14,6,245.93,-158.69
140,2024-07-07,North,Home Office,Furniture,36.96,41.08,4,228.18,-211.7
141,2024-04-05,North,Small Business,Clothing,37.89,75.52,44,351.19,1304.53
142,2024-11-21,East,Small Business,Clothing,45.76,77.99,29,451.35,483.32
143,2024-07-28,East,Small Business,Electronics,48.41,67.06,34,187.72,446.38
144,2023-08-29,East,Consumer,Food,81.98,155.05,17,298.34,943.85
145,2024-07-17,South,Corporate,Electronics,41.44,55.22,43,405.23,187.31
146,2023-04-06,East,Home Office,Food,52.14,82.88,43,237.3,1084.52
147,2024-04-29,West,Corporate,Electronics,66.25,110.8,16,125.65,587.15
148,2024-02-11,South,Corporate,Clothing,44.0,57.15,2,263.73,-237.43
149,2023-08-19,East,Small Business,Electronics,85.29,168.92,34,74.85,2768.57
150,2024-10-16,South,Small Business,Food,62.87,111.49,8,474.07,-85.11
151,2023-06-20,West,Small Business,Furniture,36.46,58.41,13,83.67,201.68
152,2024-06-24,East,Consumer,Food,74.27,93.77,42,247.31,571.69
153,2023-02-05,West,Corporate,Furniture,57.49,66.03,8,288.45,-220.13
154,2024-06-08,West,Corporate,Clothing,58.1,80.65,30,493.39,183.11
155,2023-06-09,West,Consumer,Food,53.3,94.76,32,124.71,1202.01
156,2024-11-29,East,Consumer,Electronics,54.73,73.47,36,101.49,573.15
157,2023-08-31,North,Consumer,Food,78.88,125.07,47,53.92,2117.01
158,2023-03-27,East,Corporate,Furniture,19.27,33.82,30,120.01,316.49
159,2024-07-31,West,Corporate,Clothing,40.09,47.99,1,143.27,-135.37
160,2024-11-12,East,Small Business,Electronics,16.8,28.84,43,333.76,183.96
161,2024-07-10,West,Small Business,Food,77.79,92.0,39,148.87,405.32
162,2024-07-27,North,Corporate,Furniture,34.51,67.94,17,59.23,509.08
163,2024-10-07,South,Small Business,Electronics,90.77,139.75,20,421.98,557.62
164,2023-01-28,North,Consumer,Clothing,57.39,70.91,24,214.52,109.96
165,2024-09-11,North,Home Office,Electronics,82.07,115.57,22,209.16,527.84
166,2024-07-09,South,Small Business,Clothing,98.1,144.41,29,186.12,1156.87
167,2023-12-06,East,Corporate,Electronics,85.58,152.53,22,488.92,983.98
168,2023-11-27,South,Small Business,Food,88.03,155.73,44,126.55,2852.25
169,2024-10-01,East,Small Business,Furniture,46.72,77.12,9,454.21,-180.61
170,2024-05-20,East,Small Business,Food,59.66,71.31,37,399.56,31.49
171,2023-12-14,West,Home Office,Food,32.85,40.62,10,84.42,-6.72
172,2024-04-17,West,Consumer,Clothing,27.65,32.75,36,494.03,-310.43
173,2023-08-19,South,Corporate,Clothing,55.5,89.88,37,172.11,1099.95
174,2023-07-09,North,Home Office,Clothing,63.55,120.07,28,94.36,1488.2
175,2023-08-13,South,Corporate,Food,40.53,60.41,28,423.19,133.45
176,2024-01-20,East,Corporate,Electronics,61.25,76.24,42,368.0,261.58
177,2024-01-12,West,Corporate,Electronics,89.87,143.99,43,327.75,1999.41
178,2023-10-10,South,Home Office,Food,60.1,110.02,21,120.19,928.13
179,2024-09-24,South,Consumer,Food,74.87,132.34,24,265.32,1113.96
180,2024-09-19,West,Corporate,Furniture,82.48,156.16,42,401.25,2693.31
181,2023-09-16,West,Consumer,Clothing,98.99,133.65,40,186.63,1199.77
182,2023-12-25,West,Consumer,Clothing,64.29,81.94,2,190.26,-154.96
183,2024-12-10,East,Small Business,Food,82.62,156.3,8,51.41,538.03
184,2024-03-31,West,Home Office,Food,96.64,163.5,48,128.41,3080.87
185,2024-02-15,North,Home Office,Electronics,95.0,131.08,27,443.93,530.23
186,2024-10-10,South,Small Business,Food,22.7,40.14,22,248.79,134.89
187,2023-11-14,West,Small Business,Electronics,46.58,85.41,37,492.91,943.8
188,2024-11-07,West,Consumer,Food,39.16,64.75,27,228.07,462.86
189,2023-08-13,East,Corporate,Furniture,17.82,30.63,29,371.83,-0.34
190,2023-08-22,East,Home Office,Furniture,66.99,96.31,3,176.86,-88.9
191,2024-11-14,South,Corporate,Electronics,76.23,120.81,44,213.71,1747.81
192,2024-10-25,North,Corporate,Clothing,86.33,135.69,13,135.83,505.85
193,2024-01-09,South,Small Business,Furniture,21.05,39.22,45,206.18,611.47
194,2024-11-02,West,Corporate,Electronics,88.88,164.96,10,296.26,464.54
195,2024-08-30,North,Consumer,Food,67.86,125.5,36,496.3,1578.74
196,2024-04-16,North,Small Business,Food,73.36,81.42,9,348.89,-276.35
197,2023-08-21,North,Corporate,Electronics,91.96,163.19,27,139.66,1783.55
198,2024-11-22,North,Small Business,Clothing,66.23,118.08,34,70.23,1692.67
199,2023-04-23,South,Consumer,Electronics,40.23,68.82,1,106.86,-78.27
200,2024-05-11,East,Consumer,Electronics,84.26,150.04,32,303.15,1801.81
201,2024-03-17,East,Corporate,Furniture,42.68,79.29,25,394.32,520.93
202,2024-07-17,West,Small Business,Electronics,13.08,19.92,29,473.19,-274.83
203,2023-09-25,East,Corporate,Electronics,84.76,131.53,7,57.12,270.27
204,2024-05-24,East,Corporate,Food,41.07,49.79,49,285.24,142.04
205,2024-01-21,East,Small Business,Furniture,79.65,115.24,3,261.89,-155.12
206,2024-01-22,East,Corporate,Food,42.65,71.61,20,345.22,233.98
207,2023-04-23,West,Consumer,Food,87.5,157.71,20,301.81,1102.39
208,2024-09-04,South,Small Business,Clothing,29.76,38.55,30,359.17,-95.47
209,2024-09-16,North,Small Business,Clothing,97.71,119.6,35,346.14,420.01
210,2023-03-22,East,Small Business,Furniture,80.18,136.04,35,102.66,1852.44
211,2024-11-29,South,Small Business,Furniture,20.28,22.34,49,409.87,-308.93
212,2023-04-23,East,Corporate,Clothing,60.92,76.79,39,105.45,513.48
213,2023-01-02,East,Corporate,Clothing,98.68,111.13,27,364.34,-28.19
214,2024-10-03,North,Consumer,Clothing,52.4,65.51,26,237.27,103.59
215,2023-08-08,North,Home Office,Clothing,26.39,33.34,14,281.23,-183.93
216,2024-07-19,North,Home Office,Clothing,53.63,77.7,17,456.48,-47.29
217,2023-08-13,East,Consumer,Food,56.12,82.05,18,450.45,16.29
218,2024-01-20,East,Home Office,Furniture,76.75,144.81,45,418.04,2644.66
219,2024-02-07,East,Consumer,Food,72.9,113.66,29,279.57,902.47
220,2024-09-29,North,Corporate,Food,46.23,80.95,20,381.31,313.09
221,2023-05-10,West,Small Business,Electronics,29.62,35.36,27,280.8,-125.82
222,2023-02-22,South,Small Business,Food,68.05,88.66,18,441.32,-70.34
223,2024-11-14,West,Corporate,Clothing,47.95,83.08,4,231.25,-90.73
224,2024-12-30,East,Small Business,Clothing,21.9,25.13,1,486.61,-483.38
225,2024-11-02,East,Small Business,Electronics,91.05,140.03,1,469.55,-420.57
226,2024-12-10,West,Home Office,Electronics,72.21,118.38,26,383.72,816.7
227,2024-02-20,East,Corporate,Electronics,71.49,117.38,45,175.74,1889.31
228,2023-09-04,South,Home Office,Electronics,84.03,94.17,20,109.24,93.56
229,2024-03-14,East,Home Office,Electronics,57.67,80.16,23,434.62,82.65
230,2023-07-22,South,Small Business,Food,83.35,139.43,10,124.39,436.41
231,2023-07-03,West,Small Business,Electronics,54.83,67.67,11,434.42,-293.18
232,2023-05-03,West,Corporate,Food,16.05,27.7,41,270.84,206.81
233,2024-02-05,East,Small Business,Furniture,46.47,82.31,41,232.95,1236.49
234,2023-10-21,South,Small Business,Electronics,54.77,108.65,5,456.44,-187.04
235,2023-10-07,East,Corporate,Electronics,74.82,96.43,1,321.73,-300.12
236,2024-09-01,North,Small Business,Food,19.59,36.1,17,309.48,-28.81
237,2023-07-17,North,Home Office,Furniture,22.6,35.44,22,301.44,-18.96
238,2024-05-25,North,Corporate,Food,33.73,48.44,34,217.03,283.11
239,2023-05-24,North,Small Business,Food,33.98,41.12,45,403.54,-82.24
240,2024-08-31,East,Consumer,Electronics,75.9,133.73,41,163.76,2207.27
241,2023-07-20,North,Corporate,Clothing,32.57,42.74,29,472.5,-177.57
242,2023-05-04,South,Corporate,Clothing,66.98,96.07,4,452.29,-335.93
243,2023-07-06,West,Consumer,Food,54.48,62.99,5,201.87,-159.32
244,2023-11-22,West,Small Business,Electronics,61.6,112.19,11,378.26,178.23
245,2024-04-08,North,Small Business,Furniture,85.43,152.91,21,307.95,1109.13
246,2023-12-15,North,Corporate,Clothing,46.39,81.66,35,201.94,1032.51
247,2024-10-21,North,Corporate,Furniture,79.38,108.71,12,494.83,-142.87
248,2024-02-07,East,Small Business,Clothing,47.98,60.27,26,61.36,258.18
249,2023-12-12,West,Small Business,Electronics,41.85,70.05,19,163.69,372.11
250,2024-05-25,North,Home Office,Food,96.28,148.9,45,284.03,2083.87
251,2023-05-27,South,Corporate,Furniture,26.59,33.51,7,284.88,-236.44
252,2023-05-28,North,Corporate,Furniture,18.13,31.14,47,315.02,296.45
253,2024-12-11,West,Consumer,Food,79.39,158.15,7,388.25,163.07
254,2024-05-03,North,Home Office,Furniture,16.14,28.61,26,330.57,-6.35
255,2024-10-01,West,Small Business,Clothing,85.34,150.71,40,320.13,2294.67
256,2024-07-04,North,Home Office,Food,49.35,96.49,5,74.08,161.62
257,2023-12-04,South,Small Business,Clothing,92.4,118.52,21,219.44,329.08
258,2024-10-02,North,Small Business,Clothing,74.94,120.58,14,154.43,484.53
259,2024-04-17,South,Home Office,Electronics,64.94,128.69,4,169.42,85.58
260,2023-05-31,South,Corporate,Clothing,95.44,119.18,23,299.45,246.57
261,2024-02-19,North,Small Business,Electronics,45.7,79.07,42,139.78,1261.76
262,2023-10-25,South,Home Office,Furniture,95.87,156.0,20,182.28,1020.32
263,2024-09-02,East,Consumer,Furniture,22.15,36.06,15,156.69,51.96
264,2023-09-20,North,Home Office,Electronics,53.54,92.51,45,476.83,1276.82
265,2023-05-24,North,Consumer,Clothing,34.29,66.41,29,475.1,456.38
266,2023-12-12,South,Small Business,Food,58.59,105.72,8,324.47,52.57
267,2024-09-15,South,Home Office,Food,24.58,28.28,41,466.04,-314.34
268,2024-07-25,North,Home Office,Electronics,85.74,160.12,48,403.62,3166.62
269,2023-01-02,East,Consumer,Furniture,86.18,112.29,19,315.48,180.61
270,2023-10-31,South,Home Office,Furniture,95.97,138.12,48,52.9,1970.3
271,2023-09-11,South,Home Office,Food,23.92,36.25,39,397.63,83.24
272,2024-10-13,West,Small Business,Electronics,66.1,101.32,46,366.12,1254.0
273,2024-03-28,East,Home Office,Food,52.68,78.58,28,326.86,398.34
274,2023-02-06,East,Corporate,Clothing,40.99,79.67,46,392.19,1387.09
275,2023-06-09,North,Consumer,Clothing,41.64,72.26,27,280.81,545.93
276,2023-01-09,East,Home Office,Electronics,47.15,78.65,4,366.84,-240.84
277,2023-08-21,North,Consumer,Electronics,73.44,84.08,15,470.83,-311.23
278,2023-04-09,West,Consumer,Clothing,63.85,122.18,35,219.11,1822.44
279,2024-10-20,East,Consumer,Furniture,51.37,98.55,37,368.65,1377.01
280,2023-07-27,South,Home Office,Electronics,16.83,30.33,1,264.06,-250.56
281,2023-05-11,West,Home Office,Clothing,17.0,18.81,3,353.48,-348.05
282,2024-02-08,North,Consumer,Clothing,10.21,11.76,47,393.3,-320.45
283,2023-06-01,West,Corporate,Furniture,97.09,126.48,24,70.45,634.91
284,2023-02-23,North,Consumer,Furniture,10.47,12.75,27,340.97,-279.41
285,2023-04-30,West,Corporate,Furniture,19.28,28.13,40,152.03,201.97
286,2024-11-03,North,Consumer,Furniture,38.31,73.95,36,351.51,931.53
287,2024-09-19,East,Small Business,Food,82.67,126.06,34,260.75,1214.51
288,2024-08-09,South,Consumer,Furniture,96.59,107.41,29,398.1,-84.32
289,2024-09-16,North,Consumer,Food,81.1,109.85,24,105.53,584.47
290,2024-02-24,West,Home Office,Electronics,72.15,82.26,24,331.85,-89.21
291,2024-02-26,North,Corporate,Clothing,56.92,64.47,42,175.31,141.79
292,2023-04-14,North,Small Business,Food,17.8,24.0,4,433.84,-409.04
293,2023-09-11,North,Corporate,Electronics,96.24,129.74,3,467.77,-367.27
294,2023-08-15,West,Small Business,Electronics,78.26,141.53,34,498.38,1652.8
295,2023-04-22,South,Consumer,Food,67.51,133.49,49,408.2,2824.82
296,2024-05-24,East,Home Office,Electronics,78.31,112.3,23,389.18,392.59
297,2024-04-17,South,Home Office,Electronics,75.17,111.7,23,146.98,693.21
298,2023-04-09,North,Corporate,Food,67.35,125.29,45,201.2,2406.1
299,2023-06-02,West,Home Office,Electronics,98.25,131.79,5,259.56,-91.86
300,2023-12-04,South,Corporate,Furniture,91.3,113.28,31,398.02,283.36
301,2024-12-06,North,Corporate,Furniture,68.2,127.38,41,461.73,1964.65
302,2023-06-12,East,Small Business,Clothing,72.39,82.66,6,135.11,-73.49
303,2024-12-20,East,Corporate,Electronics,14.64,24.27,37,465.07,-108.76
304,2024-11-11,East,Small Business,Clothing,70.29,112.87,10,363.03,62.77
305,2023-06-10,North,Home Office,Furniture,13.97,19.72,40,324.85,-94.85
306,2024-08-02,West,Corporate,Furniture,62.94,87.09,7,139.93,29.12
307,2024-02-02,South,Corporate,Furniture,99.94,179.36,39,74.99,3022.39
308,2023-10-04,East,Consumer,Electronics,60.02,70.69,38,305.81,99.65
309,2024-05-18,North,Corporate,Electronics,52.59,69.06,21,343.18,2.69
310,2024-01-27,North,Corporate,Furniture,38.16,67.13,20,144.85,434.55
311,2023-05-15,South,Consumer,Clothing,20.85,33.22,3,300.41,-263.3
312,2023-07-14,East,Consumer,Clothing,75.79,92.1,22,435.42,-76.6
313,2024-02-05,North,Home Office,Food,27.33,51.76,47,425.78,722.43
314,2024-10-01,South,Corporate,Furniture,20.38,29.63,4,467.31,-430.31
315,2023-02-02,West,Home Office,Clothing,47.96,88.49,28,214.65,920.19
316,2024-11-18,West,Home Office,Furniture,81.58,147.57,12,193.12,598.76
317,2024-04-04,West,Consumer,Clothing,77.06,128.07,38,387.24,1551.14
318,2024-04-14,East,Small Business,Food,14.94,23.08,36,244.0,49.04
319,2024-01-10,South,Home Office,Food,50.96,100.98,47,89.4,2261.54
320,2023-01-22,South,Small Business,Furniture,57.02,70.16,41,177.26,361.48
321,2024-10-31,North,Corporate,Clothing,68.01,119.2,5,238.36,17.59
322,2023-02-07,North,Consumer,Electronics,68.52,87.16,13,181.63,60.69
323,2023-08-18,North,Corporate,Food,42.82,60.14,23,199.49,198.87
324,2023-12-31,South,Corporate,Furniture,60.46,83.3,30,182.2,503.0
325,2024-07-16,North,Consumer,Furniture,53.3,104.06,37,68.67,1809.45
326,2024-03-13,South,Corporate,Clothing,89.65,176.67,25,336.69,1838.81
327,2023-10-10,South,Consumer,Furniture,57.72,73.0,48,318.78,414.66
328,2023-01-27,West,Small Business,Food,49.69,55.64,27,344.02,-183.37
329,2023-08-14,North,Corporate,Furniture,46.4,81.11,14,136.54,349.4
330,2023-10-04,West,Consumer,Furniture,61.52,90.82,48,183.04,1223.36
331,2024-08-31,East,Home Office,Electronics,82.36,97.18,47,328.83,367.71
332,2023-10-11,East,Corporate,Electronics,58.46,100.28,36,319.83,1185.69
333,2024-04-25,East,Small Business,Food,69.55,110.63,39,277.85,1324.27
334,2024-03-28,South,Consumer,Clothing,76.41,151.48,16,207.69,993.43
335,2024-10-20,South,Corporate,Electronics,56.82,74.13,22,460.82,-80.0
336,2024-05-30,South,Corporate,Clothing,48.41,70.85,21,202.9,268.34
337,2024-06-30,North,Corporate,Food,88.9,141.2,21,255.03,843.27
338,2023-07-11,West,Small Business,Electronics,47.58,86.24,8,355.15,-45.87
339,2023-02-18,South,Consumer,Clothing,51.57,82.2,49,294.36,1206.51
340,2024-05-26,West,Home Office,Electronics,99.13,163.72,16,206.1,827.34
341,2023-01-17,West,Home Office,Food,10.02,13.06,31,246.04,-151.8
342,2023-06-21,West,Home Office,Food,26.69,49.7,42,407.52,558.9
343,2023-08-08,North,Consumer,Electronics,44.56,66.21,10,175.16,41.34
344,2023-06-07,North,Home Office,Clothing,93.93,115.24,32,114.01,567.91
345,2024-04-21,East,Small Business,Furniture,16.3,27.67,34,190.92,195.66
346,2023-02-15,East,Consumer,Furniture,10.85,14.05,9,432.29,-403.49
347,2024-01-08,West,Corporate,Electronics,14.74,17.51,17,90.05,-42.96
348,2024-06-01,East,Small Business,Clothing,17.97,33.71,11,496.26,-323.12
349,2023-04-09,West,Corporate,Furniture,13.38,20.26,32,293.45,-73.29
350,2023-02-06,North,Home Office,Food,53.18,94.36,10,493.18,-81.38
351,2023-10-07,North,Small Business,Clothing,62.27,84.78,22,472.55,22.67
352,2023-12-15,North,Consumer,Furniture,34.45,62.3,17,253.77,219.68
353,2024-05-11,South,Small Business,Clothing,45.85,55.05,4,139.32,-102.52
354,2023-10-29,West,Corporate,Electronics,18.25,25.92,48,124.2,243.96
355,2023-06-30,North,Consumer,Clothing,40.27,79.74,47,158.0,1697.09
